TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_PEDAL_LEFT_BRAKE;P_PEDAL_LEFT_BRAKE_PERCENT;P_PEDAL_RIGHT_BRAKE;P_PEDAL_RIGHT_BRAKE_PERCENT;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_LEFT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LG_PANEL_RTO_BUTTON_PRESSED;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_TRIM_CP_RUDDER_RESET;P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;P_GLS_L_MASTER_CAUTION_BUTTON_PUSHED;P_GLS_R_MASTER_WARNING_BUTTON_PUSHED;FCU_LeftBaroSetting;ALTFCU;BGOTOFCUOUT_simaplaw_a;FCGS_FcuVerticalSpeedSelect;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCUVSSELPROUT_simaplaw_a;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt10Nm;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeCpt40Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;AOIpT
356.94;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.1347;0.0;0.0;0.0;0.0;0.06427000000000001;0.07498200000000001;0.06427000000000001;-0.010712;0.0;1.0;0.0;1.0;0.0;0.070347;0.13513;-0.06806;0.023447;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9689.155190308033;248.1951582793461;;0;
356.95;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.1347;0.0;0.0;0.0;0.0;0.07498200000000001;0.06427000000000001;-0.032135000000000004;0.042847;0.0;1.0;0.0;1.0;0.0;0.034587;0.11711;-0.070367;0.024558;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9689.357021937552;248.19691573207712;;0;
356.96;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.1347;0.0;0.0;0.0;0.0;0.06427000000000001;0.07498200000000001;0.032135000000000004;0.010712;0.0;1.0;0.0;1.0;0.0;0.070347;0.10811;-0.06806;0.024558;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9689.558767227161;248.1986723858916;;0;
356.97;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.13155999999999998;0.0;0.0;0.0;0.0;0.06427000000000001;0.08569299999999999;-0.06427000000000001;0.06427000000000001;0.0;1.0;0.0;1.0;0.0;0.10611;0.034909;-0.070367;0.024558;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9689.760426161663;248.20042824070458;;0;
356.98;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.13155999999999998;0.0;0.0;0.0;0.0;0.06427000000000001;0.06427000000000001;0.021423;0.0;0.0;1.0;0.0;1.0;0.0;0.059965;0.11711;-0.070367;0.025668;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9689.961998725863;248.20218329643126;;0;
356.99;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.12841;0.0;0.0;0.0;0.0;0.07498200000000001;0.08569299999999999;0.010712;0.021423;0.0;1.0;0.0;1.0;0.0;0.08765099999999999;0.097971;-0.06806;0.022336;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9690.163484904562;248.20393755298667;;0;
357.0;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.12841;0.0;0.0;0.0;0.0;0.053558;0.07498200000000001;0.032135000000000004;0.010712;0.0;1.0;0.0;1.0;0.0;0.069194;0.10811;-0.069214;0.025668;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9690.364884682567;248.20569101028576;;0;
357.01;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.1347;0.0;0.0;0.0;0.0;0.06427000000000001;0.08569299999999999;-0.021423;0.042847;0.0;1.0;0.0;1.0;0.0;0.050737;0.061935;-0.070367;0.024558;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9690.56619804468;248.20744366824374;;0;
357.02;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.1347;0.0;0.0;0.0;0.0;0.06427000000000001;0.08569299999999999;0.010712;0.010712;0.0;1.0;0.0;1.0;0.0;0.050737;0.034909;-0.069214;0.024558;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9690.767424975707;248.20919552677555;;0;
357.03;0.0;0.0;10000.0;10000.0;0.0;10.0;35.0;12.0;1.0;1.0;1.0;1.0;0.13155999999999998;0.0;0.0;0.0;0.0;0.06427000000000001;0.08569299999999999;-0.07498200000000001;0.08569299999999999;0.0;1.0;0.0;1.0;0.0;0.014976;0.07094400000000001;-0.070367;0.024558;1.0;1.0;25.887;25.887;24.663;24.663;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;29.91;10000.0;1.0;3500.0;138.0;100.0;138.0;1.0;4.0;8.0;100.0;100.0;35.0;1.0;29.91;1.0;0.0;0.0;0.0;1.0;9690.968565460455;248.2109465857963;;0;
