Participant,Time.alert,L.focus,M.focus,R.focus,correct.focus,Time.focus,L.action.1,M.action.1,R.action.1,Time.action.1,lowertime.action.1,ticktime.action.1,uppertime.action.1,correct.1,L.action.2,M.action.2,R.action.2,Time.action.2,lowertime.action.2,ticktime.action.2,uppertime.action.2,correct.2,failed.action.1,failed.action.2,Runtime,real.ticks.1,real.ticks.2
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49405,22,28,28,successful-1,l,m,s,62135,13,41,19,failed-2,0,4,4,nan,33
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40540,14,18,20,successful-1,nan,m,nan,43620,19,22,25,successful-2,1,0,4,nan,0
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,nan,nan,s,38495,13,17,19,successful-2,2,0,5,nan,0
5,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,5,nan,nan
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40540,14,18,20,successful-1,nan,m,nan,43620,19,23,25,successful-2,1,0,5,nan,0
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49405,22,28,28,successful-1,l,m,s,63730,34,42,40,failed-2,0,5,5,nan,33
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,5,nan,18
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,34,41,40,failed-2,1,8,5,nan,26
4,20480,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,5,nan,nan
9,20450,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,5,nan,nan
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,nan,nan,s,37435,13,16,19,successful-2,2,0,6,nan,0
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49300,22,28,28,successful-1,l,m,s,61495,34,40,40,successful-2,0,2,6,nan,37
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,6,nan,18
9,20470,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,6,nan,nan
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40540,14,18,20,successful-1,nan,m,nan,43620,19,23,25,successful-2,1,0,6,nan,0
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,6,nan,nan
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,19,20,successful-1,l,m,s,62210,34,41,40,failed-2,1,8,6,nan,26
5,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,6,nan,nan
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,7,nan,18
5,20445,ND,PFD,MFD,ND,21850,l,nan,nan,44280,22,23,28,successful-1,l,m,s,63765,34,43,40,successful-2,0,2,7,nan,39
9,20450,ND,PFD,MFD,ND,21855,l,nan,nan,42735,22,22,28,successful-1,l,m,s,63330,13,42,19,failed-2,0,7,7,nan,29
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,7,nan,nan
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40540,14,18,20,successful-1,nan,m,nan,43620,19,23,25,successful-2,1,0,7,nan,0
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,34,41,40,failed-2,1,8,7,nan,26
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49405,22,28,28,successful-1,l,m,s,59550,34,38,40,successful-2,0,2,7,nan,34
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,nan,nan,s,38685,13,17,19,successful-2,2,0,7,nan,0
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,34,42,40,failed-2,1,8,8,nan,27
9,20435,ND,PFD,MFD,ND,21840,l,nan,nan,42715,22,22,28,successful-1,l,m,s,62680,34,42,40,failed-2,0,8,8,nan,27
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,8,nan,18
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40540,14,17,20,successful-1,nan,m,nan,43620,19,22,25,successful-2,1,0,8,nan,0
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,8,nan,nan
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49405,22,28,28,successful-1,l,m,s,58780,34,38,40,successful-2,0,2,8,nan,34
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,nan,nan,s,38685,13,18,19,successful-2,2,0,8,nan,0
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,8,nan,nan
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40540,14,18,20,successful-1,nan,m,nan,43620,19,22,25,successful-2,1,0,9,nan,0
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,9,nan,18
9,20450,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,9,nan,nan
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49405,22,28,28,successful-1,l,m,s,58780,34,37,40,successful-2,0,2,9,nan,34
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,34,41,40,failed-2,1,8,9,nan,26
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,9,nan,nan
5,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,9,nan,nan
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,nan,nan,s,37725,13,16,19,successful-2,2,0,9,nan,0
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49175,22,27,28,successful-1,l,m,s,59320,34,37,40,successful-2,0,2,10,nan,34
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,34,42,40,failed-2,1,8,10,nan,27
9,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,10,nan,nan
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40540,14,18,20,successful-1,nan,m,nan,43620,19,23,25,successful-2,1,0,10,nan,0
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,10,nan,nan
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,10,nan,nan
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,nan,nan,s,37525,13,16,19,successful-2,2,0,10,nan,0
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,13,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,10,nan,18
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,13,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,11,nan,18
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,20,20,successful-1,l,m,s,62210,34,41,40,failed-2,1,8,11,nan,26
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40540,14,18,20,successful-1,nan,m,nan,43620,19,23,25,successful-2,1,0,11,nan,0
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,11,nan,nan
9,20435,ND,PFD,MFD,ND,21840,l,nan,nan,42735,22,22,28,successful-1,l,m,s,62700,34,42,40,failed-2,0,8,11,nan,27
13,20445,ND,PFD,MFD,ND,21850,l,m,s,53180,14,33,20,failed-1,l,m,s,62350,19,42,25,failed-2,2,4,11,nan,29
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,nan,nan,s,37525,13,16,19,successful-2,2,0,11,nan,0
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,11,nan,nan
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,12,nan,nan
3,20445,nan,nan,MFD,MFD,21080,l,m,s,35430,7,11,13,successful-1,nan,nan,s,38685,13,18,19,successful-2,2,0,12,nan,0
10,20440,nan,PFD,MFD,PFD,21460,l,m,nan,40540,14,18,20,successful-1,nan,m,nan,43620,19,23,25,successful-2,1,0,12,nan,0
13,20445,ND,PFD,MFD,ND,21850,l,m,s,53180,14,32,20,failed-1,l,m,s,62350,19,42,25,failed-2,2,4,12,nan,29
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,42530,14,19,20,successful-1,l,m,s,63995,19,42,25,failed-2,1,9,12,nan,26
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,l,nan,s,40910,13,20,19,successful-2,2,1,12,nan,18
5,20445,ND,PFD,MFD,ND,21850,l,nan,nan,44150,22,23,28,successful-1,l,m,s,60965,34,39,40,successful-2,0,2,12,nan,36
9,20435,ND,PFD,MFD,ND,21840,l,nan,nan,42880,22,22,28,successful-1,l,m,s,62660,34,41,40,failed-2,0,8,12,nan,27
