Participant,Time.alert,NaN,NaN,NaN,NaN,NaN,NaN,NaN,N.action.1,Time.action.1,lowertime.action.1,ticktime.action.1,uppertime.action.1,correct.1,NaN,NaN,N.action.2,Time.action.2,lowertime.action.2,ticktime.action.2,uppertime.action.2,correct.2,failed.action.1,failed.action.2,Runtime
9,20435,normative,nan,nan,nan,nan,nan,nan,n,42470,15,22,21,failed-1,nan,nan,n,48335,22,28,28,successful,0,0,5
7,20445,normative,nan,nan,nan,nan,nan,nan,n,33850,15,13,21,failed-1,nan,nan,n,37640,22,17,28,failed-2,0,0,5
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,27,28,successful,0,0,5
13,20445,normative,nan,nan,nan,nan,nan,nan,n,42850,15,22,21,failed-1,nan,nan,n,49975,22,29,28,failed-2,0,0,5
4,20470,normative,nan,nan,nan,nan,nan,nan,n,28980,15,8,21,failed-1,nan,nan,n,35535,22,15,28,failed-2,0,0,5
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,6
4,20445,normative,nan,nan,nan,nan,nan,nan,n,28960,15,8,21,failed-1,nan,nan,n,35905,22,15,28,failed-2,0,0,6
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,26,28,successful,0,0,6
13,20445,normative,nan,nan,nan,nan,nan,nan,n,42435,15,22,21,failed-1,nan,nan,n,49640,22,29,28,failed-2,0,0,6
9,20470,normative,nan,nan,nan,nan,nan,nan,n,42910,15,22,21,failed-1,nan,nan,n,49025,22,28,28,successful,0,0,6
3,20445,normative,nan,nan,nan,nan,nan,nan,n,31595,15,10,21,failed-1,nan,nan,n,37635,22,16,28,failed-2,0,0,6
5,20435,normative,nan,nan,nan,nan,nan,nan,n,43155,15,22,21,failed-1,nan,nan,n,49520,22,29,28,failed-2,0,0,6
7,20445,normative,nan,nan,nan,nan,nan,nan,n,33850,15,13,21,failed-1,nan,nan,n,37640,22,17,28,failed-2,0,0,6
9,20450,normative,nan,nan,nan,nan,nan,nan,n,42805,15,22,21,failed-1,nan,nan,n,48145,22,27,28,successful,0,0,7
7,20445,normative,nan,nan,nan,nan,nan,nan,n,33850,15,13,21,failed-1,nan,nan,n,37640,22,17,28,failed-2,0,0,7
5,20435,normative,nan,nan,nan,nan,nan,nan,n,43105,15,22,21,failed-1,nan,nan,n,50310,22,29,28,failed-2,0,0,7
4,20445,normative,nan,nan,nan,nan,nan,nan,n,28960,15,8,21,failed-1,nan,nan,n,35705,22,15,28,failed-2,0,0,7
3,20445,normative,nan,nan,nan,nan,nan,nan,n,31595,15,11,21,failed-1,nan,nan,n,37635,22,17,28,failed-2,0,0,7
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,7
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,26,28,successful,0,0,7
13,20445,normative,nan,nan,nan,nan,nan,nan,n,42435,15,22,21,failed-1,nan,nan,n,49640,22,29,28,failed-2,0,0,7
4,20445,normative,nan,nan,nan,nan,nan,nan,n,28960,15,8,21,failed-1,nan,nan,n,37245,22,16,28,failed-2,0,0,8
13,20445,normative,nan,nan,nan,nan,nan,nan,n,42850,15,22,21,failed-1,nan,nan,n,49640,22,29,28,failed-2,0,0,8
7,20445,normative,nan,nan,nan,nan,nan,nan,n,33850,15,13,21,failed-1,nan,nan,n,37640,22,17,28,failed-2,0,0,8
5,20435,normative,nan,nan,nan,nan,nan,nan,n,42500,15,22,21,failed-1,nan,nan,n,49290,22,29,28,failed-2,0,0,8
9,20470,normative,nan,nan,nan,nan,nan,nan,n,42910,15,22,21,failed-1,nan,nan,n,48255,22,27,28,successful,0,0,8
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,8
3,20445,normative,nan,nan,nan,nan,nan,nan,n,31595,15,11,21,failed-1,nan,nan,n,37635,22,17,28,failed-2,0,0,8
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,19,21,successful-1,nan,nan,n,47480,22,26,28,successful,0,0,8
7,20445,normative,nan,nan,nan,nan,nan,nan,n,33850,15,13,21,failed-1,nan,nan,n,37640,22,17,28,failed-2,0,0,9
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,9
4,20470,normative,nan,nan,nan,nan,nan,nan,n,28980,15,8,21,failed-1,nan,nan,n,37845,22,17,28,failed-2,0,0,9
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,26,28,successful,0,0,9
5,20445,normative,nan,nan,nan,nan,nan,nan,n,42375,15,22,21,failed-1,nan,nan,n,49585,22,29,28,failed-2,0,0,9
9,20450,normative,nan,nan,nan,nan,nan,nan,n,42805,15,22,21,failed-1,nan,nan,n,48335,22,27,28,successful,0,0,9
13,20445,normative,nan,nan,nan,nan,nan,nan,n,42850,15,22,21,failed-1,nan,nan,n,49975,22,29,28,failed-2,0,0,9
3,20445,normative,nan,nan,nan,nan,nan,nan,n,31595,15,10,21,failed-1,nan,nan,n,37635,22,16,28,failed-2,0,0,9
10,20440,normative,nan,nan,nan,nan,nan,nan,n,38655,15,18,21,successful-1,nan,nan,n,43660,22,23,28,successful,0,0,10
2,20445,normative,nan,nan,nan,nan,nan,nan,n,40640,15,20,21,successful-1,nan,nan,n,47480,22,27,28,successful,0,0,10
13,20445,normative,nan,nan,nan,nan,nan,nan,n,42850,15,22,21,failed-1,nan,nan,n,49640,22,29,28,failed-2,0,0,10
4,20445,normative,nan,nan,nan,nan,nan,nan,n,28940,15,8,21,failed-1,nan,nan,n,35405,22,14,28,failed-2,0,0,10
5,20435,normative,nan,nan,nan,nan,nan,nan,n,42835,15,22,21,failed-1,nan,nan,n,49625,22,29,28,failed-2,0,0,10
3,20445,normative,nan,nan,nan,nan,nan,nan,n,31595,15,11,21,failed-1,nan,nan,n,37635,22,17,28,failed-2,0,0,10
7,20445,normative,nan,nan,nan,nan,nan,nan,n,33850,15,13,21,failed-1,nan,nan,n,37640,22,17,28,failed-2,0,0,10
9,20450,normative,nan,nan,nan,nan,nan,nan,n,42470,15,22,21,failed-1,nan,nan,n,48715,22,28,28,successful,0,0,10
