Participant,Time.alert,L.focus,M.focus,R.focus,correct.focus,Time.focus,L.action.1,M.action.1,R.action.1,Time.action.1,lowertime.action.1,ticktime.action.1,uppertime.action.1,correct.1,L.action.2,M.action.2,R.action.2,Time.action.2,lowertime.action.2,ticktime.action.2,uppertime.action.2,correct.2,below.attempt
2,20445,nan,PFD,MFD,PFD,21465,l,m,nan,nan,nan,nan,nan,nan,nan,m,m,nan,nan,nan,nan,nan,nan
3,20445,nan,PFD,MFD,MFD,21465,l,nan,s,33430,7,12,13,successfull,nan,m,s,39460,13,18,19,successful,nan
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
