Participant,Time.alert,L.focus,M.focus,R.focus,correct.focus,Time.focus,L.action.1,M.action.1,R.action.1,Time.action.1,lowertime.action.1,ticktime.action.1,uppertime.action.1,correct.1,L.action.2,M.action.2,R.action.2,Time.action.2,lowertime.action.2,ticktime.action.2,uppertime.action.2,correct.2,failed.action.1,failed.action.2,Runtime
5,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,5
4,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,5
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,44590,7,12,13,successful-1,l,m,s,61355,19,40,25,successful-2,6,8,5
13,20445,nan,PFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,5
10,20440,nan,PFD,nan,PFD,21075,nan,m,nan,38655,14,17,20,successful-1,nan,m,nan,43660,19,22,25,successful-2,0,0,5
3,20445,nan,PFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,5
2,20445,nan,PFD,nan,PFD,21080,nan,m,nan,40515,14,20,20,successful-1,l,m,s,62055,13,42,19,failed-2,0,7,5
4,20460,nan,nan,MFD,MFD,21095,l,m,s,32720,7,8,13,successful-1,l,m,s,39210,13,18,19,successful-2,2,2,6
7,20445,ND,PFD,nan,PFD,21465,nan,nan,s,33405,7,12,13,successful-1,l,m,s,41390,13,20,19,successful-2,0,2,6
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49300,22,28,28,successful-1,l,m,s,59550,34,38,40,successful-2,0,2,6
9,20450,ND,PFD,MFD,ND,21855,l,nan,nan,42920,22,22,28,successful-1,l,m,s,62700,34,42,40,failed-2,0,8,6
3,20445,nan,nan,MFD,MFD,21080,nan,nan,s,31690,7,11,13,successful-1,nan,nan,s,37745,13,17,19,successful-2,0,0,6
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,6
10,20440,nan,PFD,nan,PFD,21075,nan,m,nan,38655,14,18,20,successful-1,nan,m,nan,43660,19,23,25,successful-2,0,0,6
2,20445,nan,PFD,nan,PFD,21080,nan,m,nan,40515,14,20,20,successful-1,l,m,s,62690,34,42,40,failed-2,0,8,6
5,20435,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,7
