Participant,Time.alert,L.focus,M.focus,R.focus,correct.focus,Time.focus,L.action.1,M.action.1,R.action.1,Time.action.1,lowertime.action.1,ticktime.action.1,uppertime.action.1,correct.1,L.action.2,M.action.2,R.action.2,Time.action.2,lowertime.action.2,ticktime.action.2,uppertime.action.2,correct.2,failed.action.1,failed.action.2,Runtime
13,20445,ND,PFD,MFD,ND,21850,l,nan,nan,49225,22,29,28,failed-1,l,m,s,61425,34,41,40,failed-2,0,4,0
5,20435,ND,PFD,MFD,ND,21840,l,nan,nan,44305,22,23,28,successful-1,nan,m,nan,nan,nan,nan,nan,nan,0,0,0
7,20445,nan,PFD,nan,PFD,21080,nan,nan,s,33530,7,13,13,successful-1,nan,m,nan,42565,19,21,25,successful-2,0,0,0
5,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,1
13,20445,ND,PFD,nan,ND,21465,l,nan,nan,49155,22,28,28,successful-1,l,m,s,61545,34,41,40,failed-2,0,4,1
7,20445,nan,PFD,MFD,PFD,21465,l,m,s,37130,7,12,13,successful-1,nan,nan,s,39050,13,18,19,successful-2,2,0,1
5,20445,ND,PFD,MFD,nan,nan,nan,nan,nan,nan,nan,nan,nan,failedFocus,nan,nan,nan,nan,nan,nan,nan,failedFocus,0,0,2
7,20445,ND,PFD,MFD,PFD,21850,l,m,s,37280,7,13,13,successful-1,nan,nan,s,39200,13,18,19,successful-2,2,0,2
13,20445,ND,nan,MFD,ND,21850,l,nan,nan,49455,22,29,28,failed-1,nan,m,s,61945,19,41,25,failed-2,0,4,2
