TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_RIGHT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;FCU_LeftBaroSetting;ALTFCU;BGOTOFCUOUT_simaplaw_a;BMACHFCUSELOUT_simaplaw_a;FCGS_FcuVerticalSpeedSelect;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCUVSSELPROUT_simaplaw_a;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeCpt40Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;Action
792.88;0.0;0.0;3000.0;3000.0;0.0;16.0;48.0;58.0;1.0;1.0;1.0;1.0;0.27303;0.10712;0.10712;0.19280999999999998;0.042847;0.0;1.0;1.0;0.0;-0.070388;-0.037161;-0.062291999999999986;0.026779;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;0.0;-1900.0;128.0;30.0;128.0;2.21;4.0;8.0;134.0;134.0;-19.0;1.0;29.91;1.0;0.0;0.0;1.0;1407.6379084237424;131.12995746710317;;0;0
792.89;0.0;0.0;3000.0;3000.0;0.0;16.0;48.0;58.0;1.0;1.0;1.0;1.0;0.27303;0.09640499999999999;0.09640499999999999;0.23565999999999998;0.021422999999999998;0.0;1.0;1.0;0.0;-0.070388;-0.037161;-0.062291999999999986;0.027889999999999998;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;0.0;-1900.0;128.0;30.0;128.0;2.21;4.0;8.0;134.0;134.0;-19.0;1.0;29.91;1.0;0.0;0.0;1.0;1407.630233249504;131.12884765116962;;0;0
792.9;0.0;0.0;3000.0;3000.0;0.0;16.0;48.0;58.0;1.0;1.0;1.0;1.0;0.27618000000000004;0.10712;0.09640499999999999;0.12854000000000002;0.07498200000000001;0.0;1.0;1.0;0.0;-0.0046346;-0.006756600000000001;-0.061139;0.027889999999999998;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;0.0;-1900.0;128.0;30.0;128.0;2.21;4.0;8.0;134.0;134.0;-19.0;1.0;29.91;1.0;0.0;0.0;1.0;1407.6225619725901;131.12773836048686;;0;0
792.91;0.0;0.0;3000.0;3000.0;0.0;16.0;48.0;58.0;1.0;1.0;1.0;1.0;0.27618000000000004;0.10712;0.07498200000000001;0.20352;0.042847;0.0;1.0;1.0;0.0;-0.041549;-0.011261;-0.061139;0.026779;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;0.0;-1900.0;128.0;30.0;128.0;2.21;4.0;8.0;134.0;134.0;-19.0;1.0;29.91;1.0;0.0;0.0;1.0;1407.6148945929415;131.12662959508458;;0;0
792.92;0.0;0.0;3000.0;3000.0;0.0;16.0;48.0;58.0;1.0;1.0;1.0;1.0;0.27303;0.11782999999999999;0.10712;0.19280999999999998;0.042847;0.0;1.0;1.0;0.0;-0.070388;-0.073196;-0.062291999999999986;0.029001;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;0.0;-1900.0;128.0;30.0;128.0;2.21;4.0;8.0;134.0;134.0;-19.0;1.0;29.91;1.0;0.0;0.0;1.0;1407.6072311105004;131.12552135499269;;0;0
792.93;0.0;0.0;3000.0;3000.0;0.0;16.0;48.0;58.0;1.0;1.0;1.0;1.0;0.26989;0.10712;0.08569299999999999;0.24636999999999998;0.0;0.0;1.0;1.0;0.0;-0.07961599999999999;-0.032657;-0.062291999999999986;0.026779;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;0.0;-1900.0;128.0;30.0;128.0;2.21;4.0;8.0;134.0;134.0;-19.0;1.0;29.91;1.0;0.0;0.0;1.0;1407.5995715252066;131.12441364024096;;0;0
792.94;0.0;0.0;3000.0;3000.0;0.0;16.0;48.0;58.0;1.0;1.0;1.0;1.0;0.26989;0.09640499999999999;0.09640499999999999;0.16068;0.07498200000000001;0.0;1.0;1.0;0.0;-0.042702;-0.073196;-0.061139;0.026779;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;0.0;-1900.0;128.0;30.0;128.0;2.21;4.0;8.0;134.0;134.0;-19.0;1.0;29.91;1.0;0.0;0.0;1.0;1407.591915837002;131.1233064508592;;0;0
792.95;0.0;0.0;3000.0;3000.0;0.0;16.0;48.0;58.0;1.0;1.0;1.0;1.0;0.27618000000000004;0.10712;0.10712;0.19280999999999998;0.032135000000000004;0.0;1.0;1.0;0.0;-0.06115900000000001;-0.055179;-0.062291999999999986;0.026779;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;0.0;-1900.0;128.0;30.0;128.0;2.21;4.0;8.0;134.0;134.0;-19.0;1.0;29.91;1.0;0.0;0.0;1.0;1407.5842640458277;131.12219978687727;;0;0
792.96;0.0;0.0;3000.0;3000.0;0.0;16.0;48.0;58.0;1.0;1.0;1.0;1.0;0.2636;0.10712;0.09640499999999999;0.1821;0.042847;0.0;1.0;1.0;0.0;-0.077309;-0.055179;-0.063446;0.029001;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;0.0;-1900.0;128.0;30.0;128.0;2.21;4.0;8.0;134.0;134.0;-19.0;1.0;29.91;1.0;0.0;0.0;1.0;1407.5766161516246;131.12109364832494;;0;0
792.97;0.0;0.0;3000.0;3000.0;0.0;16.0;48.0;58.0;1.0;1.0;1.0;1.0;0.26989;0.09640499999999999;0.09640499999999999;0.22495;0.010712000000000001;0.0;1.0;1.0;0.0;-0.07961599999999999;-0.009008799999999999;-0.061139;0.025668;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;0.0;-1900.0;128.0;30.0;128.0;2.21;4.0;8.0;134.0;134.0;-19.0;1.0;29.91;1.0;0.0;0.0;1.0;1407.5689721543345;131.1199880352321;;0;0
