TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_RIGHT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;FCU_LeftBaroSetting;ALTFCU;BGOTOFCUOUT_simaplaw_a;BMACHFCUSELOUT_simaplaw_a;FCGS_FcuVerticalSpeedSelect;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCUVSSELPROUT_simaplaw_a;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeCpt40Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;Action
888.54;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.54655;0.06427000000000001;0.11782999999999999;-0.19280999999999998;0.17139000000000001;0.0;1.0;1.0;0.0;2.6174;0.5213800000000001;-0.062291999999999986;0.05121799999999999;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;784.9363843959405;130.5873632315683;;0;0
888.55;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.54027;0.09640499999999999;0.09640499999999999;-0.1821;0.1821;0.0;1.0;1.0;0.0;2.5793;0.5349;-0.062291999999999986;0.052328999999999994;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;784.7723771692548;130.58211451549835;;0;0
888.56;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.54027;0.07498200000000001;0.10712;-0.19280999999999998;0.1821;0.0;1.0;1.0;0.0;2.5055;0.5180100000000001;-0.062291999999999986;0.050107;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;784.6083900702139;130.57686572551424;;0;0
888.57;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.54655;0.09640499999999999;0.09640499999999999;-0.16068;0.19280999999999998;0.0;1.0;1.0;0.0;2.4686;0.51237;-0.063446;0.050107;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;784.4444231000426;130.57161686161888;;0;0
888.58;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.54027;0.08569299999999999;0.09640499999999999;-0.19280999999999998;0.17139000000000001;0.0;1.0;1.0;0.0;2.3452;0.50449;-0.061139;0.050107;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;784.2804762599621;130.56636792381522;;0;0
888.59;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.54027;0.07498200000000001;0.10712;-0.1821;0.1821;0.0;1.0;1.0;0.0;2.321;0.49098;-0.062291999999999986;0.05121799999999999;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;784.1165495511971;130.56111891210614;;0;0
888.6;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.5371199999999999;0.06427000000000001;0.09640499999999999;-0.19280999999999998;0.17139000000000001;0.0;1.0;1.0;0.0;2.2091;0.4189100000000001;-0.063446;0.052328999999999994;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;783.9526429749701;130.5558698264947;;0;0
888.61;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.5371199999999999;0.07498200000000001;0.10712;-0.16068;0.1821;0.0;1.0;1.0;0.0;2.1329;0.39526;-0.059985000000000004;0.052328999999999994;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;783.7887565325058;130.5506206669838;;0;0
888.62;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.5371199999999999;0.07498200000000001;0.09640499999999999;-0.17139000000000001;0.17139000000000001;0.0;1.0;1.0;0.0;2.0626;0.44931000000000004;-0.063446;0.05121799999999999;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;783.6248902250253;130.54537143357635;;0;0
888.63;0.0;0.0;2000.0;2000.0;0.0;16.0;3.0;0.0;0.0;1.0;1.0;1.0;0.54027;0.08569299999999999;0.09640499999999999;-0.17139000000000001;0.14995999999999998;0.0;1.0;1.0;0.0;1.9518;0.40426999999999996;-0.062291999999999986;0.05121799999999999;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;0.0;1.0;1.0;0.0;0.0;29.91;2000.0;0.0;0.0;-2900.0;61.0;20.0;61.0;0.99;4.0;8.0;100.0;100.0;-29.0;1.0;29.91;1.0;0.0;0.0;1.0;783.4610440537535;130.54012212627532;;0;0
