TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_RIGHT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LG_PANEL_RTO_BUTTON_PRESSED;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;P_LEFT_SIDESTICK_INSTINCTIVE_DISCONNECT;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;P_GLS_R_MASTER_WARNING_BUTTON_PUSHED;FCU_LeftBaroSetting;ALTFCU;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCU_AdaptSpdKnobPush;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeCpt40Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;Action
1194.36;0.0;0.0;3000.0;3000.0;0.0;10.0;45.0;31.0;0.0;1.0;1.0;1.0;0.56542;0.09640499999999999;0.09640499999999999;0.33205999999999997;-0.08569299999999999;0.0;1.0;1.0;0.0;0.0;-0.046163;0.0;-0.057678;0.023447;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;0.0;30.0;0.0;0.99;4.0;8.0;133.0;133.0;0.0;1.0;29.93;1.0;0.0;1.0;1696.4653355758535;130.1935702671839;;0;0
1194.37;0.0;0.0;3000.0;3000.0;0.0;10.0;45.0;31.0;0.0;1.0;1.0;1.0;0.5685600000000001;0.08569299999999999;0.08569299999999999;0.34276999999999996;-0.08569299999999999;0.0;1.0;1.0;0.0;0.0;-0.041549;-0.037161;-0.057678;0.024558;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;0.0;30.0;0.0;0.99;4.0;8.0;133.0;133.0;0.0;1.0;29.93;1.0;0.0;1.0;1696.4117560944958;130.1933782756245;;0;0
1194.38;0.0;0.0;3000.0;3000.0;0.0;10.0;45.0;31.0;0.0;1.0;1.0;1.0;0.5622699999999999;0.08569299999999999;0.09640499999999999;0.33205999999999997;-0.07498200000000001;0.0;1.0;1.0;0.0;0.0;-0.09807300000000001;-0.073196;-0.057678;0.023447;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;0.0;30.0;0.0;0.99;4.0;8.0;133.0;133.0;0.0;1.0;29.93;1.0;0.0;1.0;1696.3581818686505;130.19318637778872;;0;0
1194.39;0.0;0.0;3000.0;3000.0;0.0;10.0;45.0;31.0;0.0;1.0;1.0;1.0;0.5622699999999999;0.09640499999999999;0.06427000000000001;0.35349;-0.08569299999999999;0.0;1.0;1.0;0.0;0.0;-0.07961599999999999;-0.018018;-0.057678;0.023447;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;0.0;30.0;0.0;0.99;4.0;8.0;133.0;133.0;0.0;1.0;29.93;1.0;0.0;1.0;1696.3046128984588;130.19299457367907;;0;0
1194.4;0.0;0.0;3000.0;3000.0;0.0;10.0;45.0;31.0;0.0;1.0;1.0;1.0;0.5717;0.10712;0.07498200000000001;0.33205999999999997;-0.06427000000000001;0.0;1.0;1.0;0.0;0.0;-0.055390999999999996;-0.073196;-0.056525;0.026779;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;0.0;30.0;0.0;0.99;4.0;8.0;133.0;133.0;0.0;1.0;29.93;1.0;0.0;1.0;1696.2510491840617;130.19280286329771;;0;0
1194.41;0.0;0.0;3000.0;3000.0;0.0;10.0;45.0;31.0;0.0;1.0;1.0;1.0;0.5685600000000001;0.10712;0.08569299999999999;0.33205999999999997;-0.08569299999999999;0.0;1.0;1.0;0.0;0.0;-0.060006;-0.073196;-0.057678;0.023447;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;0.0;30.0;0.0;0.99;4.0;8.0;133.0;133.0;0.0;1.0;29.93;1.0;0.0;1.0;1696.1974907256006;130.192611246647;;0;0
1194.42;0.0;0.0;3000.0;3000.0;0.0;10.0;45.0;31.0;0.0;1.0;1.0;1.0;0.5622699999999999;0.08569299999999999;0.07498200000000001;0.33205999999999997;-0.07498200000000001;0.0;1.0;1.0;0.0;0.0;-0.09807300000000001;-0.073196;-0.056525;0.025668;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;0.0;30.0;0.0;0.99;4.0;8.0;133.0;133.0;0.0;1.0;29.93;1.0;0.0;1.0;1696.1439375232155;130.19241972372922;;0;0
1194.43;0.0;0.0;3000.0;3000.0;0.0;10.0;45.0;31.0;0.0;1.0;1.0;1.0;0.56542;0.10712;0.09640499999999999;0.33205999999999997;-0.08569299999999999;0.0;1.0;1.0;0.0;0.0;-0.093459;-0.036035000000000005;-0.058832;0.024558;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;0.0;30.0;0.0;0.99;4.0;8.0;133.0;133.0;0.0;1.0;29.93;1.0;0.0;1.0;1696.0903895770493;130.19222829454665;;0;0
1194.44;0.0;0.0;3000.0;3000.0;0.0;10.0;45.0;31.0;0.0;1.0;1.0;1.0;0.5622699999999999;0.09640499999999999;0.06427000000000001;0.33205999999999997;-0.10712;0.0;1.0;1.0;0.0;0.0;-0.055390999999999996;-0.037161;-0.057678;0.023447;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;0.0;30.0;0.0;0.99;4.0;8.0;133.0;133.0;0.0;1.0;29.93;1.0;0.0;1.0;1696.0368468872416;130.19203695910164;;0;0
1194.45;0.0;0.0;3000.0;3000.0;0.0;10.0;45.0;31.0;0.0;1.0;1.0;1.0;0.56542;0.08569299999999999;0.06427000000000001;0.26779000000000003;-0.08569299999999999;0.0;1.0;1.0;0.0;0.0;-0.060006;-0.073196;-0.056525;0.025668;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;29.91;3000.0;0.0;30.0;0.0;0.99;4.0;8.0;133.0;133.0;0.0;1.0;29.93;1.0;0.0;1.0;1695.9833094539342;130.19184571739643;;0;0
