TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;BAP2ENGDOUT_simaplaw_b;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;P_LEFT_SIDESTICK_INSTINCTIVE_DISCONNECT;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;P_GLS_L_MASTER_WARNING_BUTTON_PUSHED;P_GLS_R_MASTER_WARNING_BUTTON_PUSHED;FCU_LeftBaroSetting;ALTFCU;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeCpt40Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;Action
1018.26;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.53398;0.07498200000000001;0.07498200000000001;0.14995999999999998;-0.042847;1.0;1.0;0.0;-0.077309;-0.018018;-0.06575299999999999;0.035666;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1597.0030247519815;140.35894637172183;;0;0
1018.27;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.53398;0.06427000000000001;0.07498200000000001;0.010712000000000001;0.010712000000000001;1.0;1.0;0.0;-0.09576599999999999;0.0;-0.06575299999999999;0.035666;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1596.8979954992606;140.35858981008164;;0;0
1018.28;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.53398;0.07498200000000001;0.07498200000000001;0.13925;-0.032135000000000004;1.0;1.0;0.0;-0.038088;-0.009008799999999999;-0.06690700000000001;0.034555;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1596.7929721354917;140.35823342148402;;0;0
1018.29;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.52769;0.06427000000000001;0.07498200000000001;0.053558;0.0;1.0;1.0;0.0;-0.041549;-0.036035000000000005;-0.06690700000000001;0.034555;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1596.6879546609414;140.3578772059351;;0;0
1018.3;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.53083;0.07498200000000001;0.06427000000000001;0.1821;-0.06427000000000001;1.0;1.0;0.0;-0.086538;-0.055179;-0.06690700000000001;0.034555;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1596.5829430758786;140.3575211634412;;0;0
1018.31;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.52769;0.06427000000000001;0.07498200000000001;0.010712000000000001;0.021422999999999998;1.0;1.0;0.0;-0.0046346;-0.036035000000000005;-0.06575299999999999;0.034555;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1596.4779373805688;140.35716529400844;;0;0
1018.32;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.53083;0.07498200000000001;0.06427000000000001;0.12854000000000002;-0.032135000000000004;1.0;1.0;0.0;-0.09576599999999999;-0.013512999999999999;-0.06806;0.033444;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1596.3729375752814;140.35680959764306;;0;0
1018.33;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.52769;0.053558;0.07498200000000001;0.032135000000000004;0.010712000000000001;1.0;1.0;0.0;-0.091152;-0.018018;-0.06690700000000001;0.033444;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1596.2679436602825;140.35645407435138;;0;0
1018.34;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.53398;0.06427000000000001;0.06427000000000001;0.10712;-0.010712000000000001;1.0;1.0;0.0;-0.027706;-0.014639;-0.06806;0.035666;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1596.1629556358382;140.3560987241394;;0;0
1018.35;0.0;0.0;3000.0;3000.0;0.0;10.0;30.0;24.0;1.0;1.0;1.0;1.0;1.0;0.52769;0.06427000000000001;0.06427000000000001;0.07498200000000001;-0.010712000000000001;1.0;1.0;0.0;-0.03232;-0.028151999999999996;-0.06690700000000001;0.033444;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;29.0;30.0;29.0;1.0;4.0;8.0;145.0;145.0;1.0;29.91;1.0;0.0;0.0;1.0;1596.0579735022186;140.3557435470135;;0;0
