TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;BAP2ENGDOUT_simaplaw_b;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_RIGHT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;P_LEFT_SIDESTICK_INSTINCTIVE_DISCONNECT;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;FCU_LeftBaroSetting;ALTFCU;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeFo10Nm;ALTITUDE;SPEED;AOI;AlarmActive;Action
486.12;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.46796000000000004;0.06427000000000001;0.053558;0.20352;-0.07498200000000001;0.0;1.0;1.0;0.0;-0.03232;-0.018018;-0.06575299999999999;0.024558;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1519.1371609230264;131.510342800689;;0;0
486.13;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.46796000000000004;0.07498200000000001;0.07498200000000001;0.12854000000000002;-0.042847;0.0;1.0;1.0;0.0;-0.06115900000000001;-0.018018;-0.06575299999999999;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1519.1181934375334;131.50886769598958;;0;0
486.14;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.4711;0.07498200000000001;0.07498200000000001;0.26779000000000003;-0.09640499999999999;0.0;1.0;1.0;0.0;-0.08769099999999999;-0.037161;-0.06806;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1519.0992351907555;131.50739327672312;;0;0
486.15;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.4648100000000001;0.06427000000000001;0.07498200000000001;0.17139000000000001;-0.06427000000000001;0.0;1.0;1.0;0.0;-0.041549;-0.037161;-0.06575299999999999;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1519.0802861829413;131.5059195429419;;0;0
486.16;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.46796000000000004;0.08569299999999999;0.06427000000000001;0.20352;-0.08569299999999999;0.0;1.0;1.0;0.0;-0.050776999999999996;-0.037161;-0.06575299999999999;0.022336;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1519.0613464143375;131.50444649469836;;0;0
486.17;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.45852;0.08569299999999999;0.06427000000000001;0.17139000000000001;-0.06427000000000001;0.0;1.0;1.0;0.0;-0.07961599999999999;-0.037161;-0.06690700000000001;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1519.042415885193;131.50297413204478;;0;0
486.18;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.46796000000000004;0.06427000000000001;0.07498200000000001;0.28922;-0.08569299999999999;0.0;1.0;1.0;0.0;-0.023091999999999998;-0.037161;-0.06575299999999999;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1519.0234945957534;131.5015024550335;;0;0
486.19;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.4711;0.08569299999999999;0.06427000000000001;0.2142300000000001;-0.08569299999999999;0.0;1.0;1.0;0.0;-0.041549;-0.009008799999999999;-0.06575299999999999;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1519.0045825462687;131.50003146371685;;0;0
486.2;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.4711;0.06427000000000001;0.06427000000000001;0.23565999999999998;-0.08569299999999999;0.0;1.0;1.0;0.0;-0.041549;0.0078827;-0.06575299999999999;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1518.9856797369846;131.49856115814723;;0;0
486.21;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.4711;0.07498200000000001;0.07498200000000001;0.1821;-0.06427000000000001;0.0;1.0;1.0;0.0;-0.07961599999999999;-0.0045043999999999996;-0.06575299999999999;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1518.9667861681492;131.49709153837694;;0;0
486.22;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.4648100000000001;0.07498200000000001;0.06427000000000001;0.24636999999999998;-0.09640499999999999;0.0;1.0;1.0;0.0;-0.043856;-0.037161;-0.06690700000000001;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1518.9479018400104;131.49562260445836;;0;0
486.23;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.46796000000000004;0.07498200000000001;0.06427000000000001;0.1821;-0.06427000000000001;0.0;1.0;1.0;0.0;-0.041549;-0.073196;-0.06690700000000001;0.022336;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1518.9290267528158;131.49415435644377;;0;0
486.24;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.4648100000000001;0.08569299999999999;0.08569299999999999;0.19280999999999998;-0.06427000000000001;0.0;1.0;1.0;0.0;-0.023091999999999998;-0.037161;-0.06575299999999999;0.022336;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1518.9101609068125;131.49268679438558;;0;0
486.25;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.46796000000000004;0.06427000000000001;0.07498200000000001;0.14995999999999998;-0.053558;0.0;1.0;1.0;0.0;-0.03232;0.0;-0.06575299999999999;0.024558;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1518.8913043022485;131.4912199183361;;0;0
486.26;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.46796000000000004;0.07498200000000001;0.06427000000000001;0.2142300000000001;-0.07498200000000001;0.0;1.0;1.0;0.0;-0.084231;-0.037161;-0.06575299999999999;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1518.8724569393714;131.48975372834764;;0;0
486.27;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.4648100000000001;0.07498200000000001;0.08569299999999999;0.2142300000000001;-0.06427000000000001;0.0;1.0;1.0;0.0;-0.08884500000000001;-0.037161;-0.06690700000000001;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1518.8536188184278;131.4882882244726;;0;0
486.28;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.4648100000000001;0.06427000000000001;0.07498200000000001;0.20352;-0.07498200000000001;0.0;1.0;1.0;0.0;-0.035781;-0.073196;-0.06575299999999999;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1518.834789939667;131.4868234067633;;0;0
486.29;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.46796000000000004;0.06427000000000001;0.06427000000000001;0.1821;-0.06427000000000001;0.0;1.0;1.0;0.0;-0.041549;-0.032657;-0.06575299999999999;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1518.8159703033355;131.4853592752721;;0;0
486.3;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.46796000000000004;0.07498200000000001;0.06427000000000001;0.24636999999999998;-0.08569299999999999;0.0;1.0;1.0;0.0;-0.03232;0.0;-0.06690700000000001;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1518.797159909681;131.4838958300513;;0;0
486.31;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.4648100000000001;0.07498200000000001;0.06427000000000001;0.19280999999999998;-0.07498200000000001;0.0;1.0;1.0;0.0;-0.023091999999999998;-0.037161;-0.06690700000000001;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1518.778358758951;131.4824330711533;;0;0
486.32;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.4648100000000001;0.08569299999999999;0.053558;0.24636999999999998;-0.07498200000000001;0.0;1.0;1.0;0.0;-0.07961599999999999;-0.034908999999999996;-0.06690700000000001;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1518.7595668513934;131.4809709986304;;0;0
486.33;0.0;0.0;3000.0;3000.0;0.0;16.0;46.0;43.0;1.0;1.0;1.0;1.0;1.0;0.4648100000000001;0.06427000000000001;0.07498200000000001;0.1821;-0.053558;0.0;1.0;1.0;0.0;-0.046163;0.0;-0.06575299999999999;0.023447;0.0;1.0;1.0;26.19400000000001;26.19400000000001;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;128.0;30.0;128.0;2.2;4.0;8.0;134.0;134.0;1.0;29.91;1.0;1.0;1518.740784187256;131.47950961253497;;0;0
