TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;BAP2ENGDOUT_simaplaw_b;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_RIGHT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;P_LEFT_SIDESTICK_INSTINCTIVE_DISCONNECT;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;FCU_LeftBaroSetting;ALTFCU;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeFo10Nm;ALTITUDE;SPEED;AOI;AlarmActive;Action
826.06;0.0;0.0;3000.0;3000.0;0.0;16.0;10.0;48.0;1.0;1.0;1.0;1.0;1.0;0.42708;0.08569299999999999;0.09640499999999999;-0.16068;0.12854000000000002;0.0;1.0;1.0;0.0;-0.08884500000000001;-0.073196;-0.06690700000000001;0.035666;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;6.0;30.0;6.0;1.0;4.0;8.0;140.0;140.0;1.0;29.91;1.0;0.0;1630.418083382428;120.41017498567608;;0;0
826.07;0.0;0.0;3000.0;3000.0;0.0;16.0;10.0;48.0;1.0;1.0;1.0;1.0;1.0;0.43023;0.07498200000000001;0.10712;-0.1821;0.16068;0.0;1.0;1.0;0.0;-0.041549;-0.037161;-0.06690700000000001;0.036777;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;6.0;30.0;6.0;1.0;4.0;8.0;140.0;140.0;1.0;29.91;1.0;0.0;1630.296452189989;120.40976764956145;;0;0
826.08;0.0;0.0;3000.0;3000.0;0.0;16.0;10.0;48.0;1.0;1.0;1.0;1.0;1.0;0.42708;0.07498200000000001;0.09640499999999999;-0.1821;0.14995999999999998;0.0;1.0;1.0;0.0;-0.07961599999999999;-0.073196;-0.06575299999999999;0.034555;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;6.0;30.0;6.0;1.0;4.0;8.0;140.0;140.0;1.0;29.91;1.0;0.0;1630.1748266882196;120.40936051095704;;0;0
826.09;0.0;0.0;3000.0;3000.0;0.0;16.0;10.0;48.0;1.0;1.0;1.0;1.0;1.0;0.4208;0.06427000000000001;0.08569299999999999;-0.19280999999999998;0.1821;0.0;1.0;1.0;0.0;-0.060006;-0.036035000000000005;-0.06575299999999999;0.035666;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;6.0;30.0;6.0;1.0;4.0;8.0;140.0;140.0;1.0;29.91;1.0;0.0;1630.0532068773998;120.40895356987022;;0;0
826.1;0.0;0.0;3000.0;3000.0;0.0;16.0;10.0;48.0;1.0;1.0;1.0;1.0;1.0;0.43023;0.06427000000000001;0.08569299999999999;-0.14995999999999998;0.12854000000000002;0.0;1.0;1.0;0.0;-0.041549;-0.018018;-0.06690700000000001;0.034555;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;6.0;30.0;6.0;1.0;4.0;8.0;140.0;140.0;1.0;29.91;1.0;0.0;1629.9315927578098;120.40854682630821;;0;0
826.11;0.0;0.0;3000.0;3000.0;0.0;16.0;10.0;48.0;1.0;1.0;1.0;1.0;1.0;0.4208;0.08569299999999999;0.08569299999999999;-0.17139000000000001;0.14995999999999998;0.0;1.0;1.0;0.0;-0.060006;-0.032657;-0.06575299999999999;0.035666;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;6.0;30.0;6.0;1.0;4.0;8.0;140.0;140.0;1.0;29.91;1.0;0.0;1629.8099843297268;120.4081402802783;;0;0
826.12;0.0;0.0;3000.0;3000.0;0.0;16.0;10.0;48.0;1.0;1.0;1.0;1.0;1.0;0.42708;0.07498200000000001;0.09640499999999999;-0.17139000000000001;0.13925;0.0;1.0;1.0;0.0;-0.07961599999999999;-0.032657;-0.06806;0.034555;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;6.0;30.0;6.0;1.0;4.0;8.0;140.0;140.0;1.0;29.91;1.0;0.0;1629.6883815934314;120.40773393178776;;0;0
826.13;0.0;0.0;3000.0;3000.0;0.0;16.0;10.0;48.0;1.0;1.0;1.0;1.0;1.0;0.42394;0.08569299999999999;0.09640499999999999;-0.1821;0.16068;0.0;1.0;1.0;0.0;-0.041549;-0.037161;-0.06575299999999999;0.034555;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;6.0;30.0;6.0;1.0;4.0;8.0;140.0;140.0;1.0;29.91;1.0;0.0;1629.5667845492007;120.40732778084387;;0;0
826.14;0.0;0.0;3000.0;3000.0;0.0;16.0;10.0;48.0;1.0;1.0;1.0;1.0;1.0;0.42708;0.06427000000000001;0.09640499999999999;-0.14995999999999998;0.11782999999999999;0.0;1.0;1.0;0.0;-0.043856;-0.073196;-0.06806;0.036777;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;6.0;30.0;6.0;1.0;4.0;8.0;140.0;140.0;1.0;29.91;1.0;0.0;1629.4451931973147;120.4069218274539;;0;0
826.15;0.0;0.0;3000.0;3000.0;0.0;16.0;10.0;48.0;1.0;1.0;1.0;1.0;1.0;0.42708;0.07498200000000001;0.08569299999999999;-0.1821;0.17139000000000001;0.0;1.0;1.0;0.0;-0.070388;-0.055179;-0.06575299999999999;0.036777;0.0;0.0;1.0;0.0;0.0;34.946999999999996;34.946999999999996;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;6.0;30.0;6.0;1.0;4.0;8.0;140.0;140.0;1.0;29.91;1.0;0.0;1629.3236075380537;120.40651607162512;;0;0
