TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_RIGHT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;P_LEFT_SIDESTICK_INSTINCTIVE_DISCONNECT;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;FCU_LeftBaroSetting;ALTFCU;BGOTOFCUOUT_simaplaw_a;FCGS_FcuVerticalSpeedSelect;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCUVSSELPROUT_simaplaw_a;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt10Nm;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;Action
733.92;0.0;0.0;3000.0;3000.0;0.0;11.0;5.0;28.0;0.0;1.0;1.0;1.0;0.27303;0.07498200000000001;0.10712;-0.13925;0.1821;0.0;1.0;1.0;0.0;0.19839;-0.018018;-0.063446;0.023447;0.0;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-200.0;128.0;30.0;128.0;2.2;4.0;8.0;131.0;131.0;-2.0;1.0;29.91;1.0;0.0;1.0;0.0;1522.734956051136;121.26318497377352;;0;0
733.93;0.0;0.0;3000.0;3000.0;0.0;11.0;5.0;28.0;0.0;1.0;1.0;1.0;0.27931999999999996;0.09640499999999999;0.10712;-0.13925;0.17139000000000001;0.0;1.0;1.0;0.0;0.21685;-0.037161;-0.062291999999999986;0.024558;0.0;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-200.0;128.0;30.0;128.0;2.2;4.0;8.0;131.0;131.0;-2.0;1.0;29.91;1.0;0.0;1.0;0.0;1522.7124287231259;121.26194860776954;;0;0
733.94;0.0;0.0;3000.0;3000.0;0.0;11.0;5.0;28.0;0.0;1.0;1.0;1.0;0.27303;0.08569299999999999;0.10712;-0.14995999999999998;0.19280999999999998;0.0;1.0;1.0;0.0;0.21685;-0.037161;-0.0646;0.024558;0.0;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-200.0;128.0;30.0;128.0;2.2;4.0;8.0;131.0;131.0;-2.0;1.0;29.91;1.0;0.0;1.0;0.0;1522.6899123586045;121.26071282033844;;0;0
733.95;0.0;0.0;3000.0;3000.0;0.0;11.0;5.0;28.0;0.0;1.0;1.0;1.0;0.26989;0.09640499999999999;0.10712;-0.14995999999999998;0.1821;0.0;1.0;1.0;0.0;0.18455;-0.073196;-0.063446;0.023447;0.0;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-200.0;128.0;30.0;128.0;2.2;4.0;8.0;131.0;131.0;-2.0;1.0;29.91;1.0;0.0;1.0;0.0;1522.6674069578748;121.25947761152;;0;0
733.96;0.0;0.0;3000.0;3000.0;0.0;11.0;5.0;28.0;0.0;1.0;1.0;1.0;0.27618000000000004;0.07498200000000001;0.10712;-0.1821;0.16068;0.0;1.0;1.0;0.0;0.17878;-0.073196;-0.063446;0.024558;0.0;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-200.0;128.0;30.0;128.0;2.2;4.0;8.0;131.0;131.0;-2.0;1.0;29.91;1.0;0.0;1.0;0.0;1522.6449125212393;121.25824298135406;;0;0
733.97;0.0;0.0;3000.0;3000.0;0.0;11.0;5.0;28.0;0.0;1.0;1.0;1.0;0.26989;0.10712;0.11782999999999999;-0.13925;0.19280999999999998;0.0;1.0;1.0;0.0;0.17994000000000002;0.009008799999999999;-0.063446;0.025668;0.0;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-200.0;128.0;30.0;128.0;2.2;4.0;8.0;131.0;131.0;-2.0;1.0;29.91;1.0;0.0;1.0;0.0;1522.622429049003;121.25700892988041;;0;0
733.98;0.0;0.0;3000.0;3000.0;0.0;11.0;5.0;28.0;0.0;1.0;1.0;1.0;0.27618000000000004;0.07498200000000001;0.10712;-0.17139000000000001;0.1821;0.0;1.0;1.0;0.0;0.21685;-0.037161;-0.0646;0.025668;0.0;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-200.0;128.0;30.0;128.0;2.2;4.0;8.0;131.0;131.0;-2.0;1.0;29.91;1.0;0.0;1.0;0.0;1522.5999565414672;121.25577545713877;;0;0
733.99;0.0;0.0;3000.0;3000.0;0.0;11.0;5.0;28.0;0.0;1.0;1.0;1.0;0.26989;0.08569299999999999;0.09640499999999999;-0.12854000000000002;0.19280999999999998;0.0;1.0;1.0;0.0;0.21685;-0.028151999999999996;-0.062291999999999986;0.025668;0.0;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-200.0;128.0;30.0;128.0;2.2;4.0;8.0;131.0;131.0;-2.0;1.0;29.91;1.0;0.0;1.0;0.0;1522.5774949989366;121.254542563169;;0;0
734.0;0.0;0.0;3000.0;3000.0;0.0;11.0;5.0;28.0;0.0;1.0;1.0;1.0;0.26989;0.08569299999999999;0.09640499999999999;-0.14995999999999998;0.1821;0.0;1.0;1.0;0.0;0.21685;-0.046169999999999996;-0.0646;0.025668;0.0;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-200.0;128.0;30.0;128.0;2.2;4.0;8.0;131.0;131.0;-2.0;1.0;29.91;1.0;0.0;1.0;0.0;1522.5550444217126;121.25331024801092;;0;0
734.01;0.0;0.0;3000.0;3000.0;0.0;11.0;5.0;28.0;0.0;1.0;1.0;1.0;0.27931999999999996;0.08569299999999999;0.10712;-0.12854000000000002;0.19280999999999998;0.0;1.0;1.0;0.0;0.17994000000000002;-0.037161;-0.063446;0.025668;0.0;1.0;1.0;26.5;26.5;24.406;24.406;1.0;0.0;0.0;0.0;1.0;29.91;3000.0;0.0;-200.0;128.0;30.0;128.0;2.2;4.0;8.0;131.0;131.0;-2.0;1.0;29.91;1.0;0.0;1.0;0.0;1522.5326048101003;121.25207851170427;;0;0
