TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_a;B1FDENGDNCOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_LEFT_SIDESTICK_TRIGGER_PRESSED;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;P_GLS_L_MASTER_CAUTION_BUTTON_PUSHED;P_GLS_R_MASTER_WARNING_BUTTON_PUSHED;FCU_LeftBaroSetting;ALTFCU;BGOTOFCUOUT_simaplaw_a;FCGS_FcuVerticalSpeedSelect;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCUVSSELPROUT_simaplaw_a;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt10Nm;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeCpt40Nm;FCU_AdaptRangeFo20Nm;ALTITUDE;SPEED;AOI;AlarmActive;Action
1065.28;0.0;0.0;3000.0;3000.0;0.0;11.0;35.0;0.0;1.0;1.0;1.0;1.0;0.48682;0.08569299999999999;0.10712;-0.17139000000000001;0.1821;0.0;1.0;1.0;0.0;-0.055390999999999996;-0.037161;-0.056525;0.025668;1.0;1.0;26.19400000000001;26.19400000000001;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;0.0;-1600.0;62.0;30.0;62.0;2.21;4.0;8.0;133.0;133.0;-16.0;1.0;29.91;1.0;0.0;0.0;1.0;1131.4609325077236;122.06692054068108;;0;0
1065.29;0.0;0.0;3000.0;3000.0;0.0;11.0;35.0;0.0;1.0;1.0;1.0;1.0;0.48053;0.07498200000000001;0.11782999999999999;-0.16068;0.1821;0.0;1.0;1.0;0.0;-0.041549;-0.073196;-0.057678;0.026779;1.0;1.0;26.19400000000001;26.19400000000001;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;0.0;-1600.0;62.0;30.0;62.0;2.21;4.0;8.0;133.0;133.0;-16.0;1.0;29.91;1.0;0.0;0.0;1.0;1131.4299607874514;122.06490823312772;;0;0
1065.3;0.0;0.0;3000.0;3000.0;0.0;11.0;35.0;0.0;1.0;1.0;1.0;1.0;0.48367;0.09640499999999999;0.10712;-0.1821;0.1821;0.0;1.0;1.0;0.0;-0.057699;-0.073196;-0.057678;0.025668;1.0;1.0;26.19400000000001;26.19400000000001;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;0.0;-1600.0;62.0;30.0;62.0;2.21;4.0;8.0;133.0;133.0;-16.0;1.0;29.91;1.0;0.0;0.0;1.0;1131.399003834711;122.06289685081506;;0;0
1065.31;0.0;0.0;3000.0;3000.0;0.0;11.0;35.0;0.0;1.0;1.0;1.0;1.0;0.48367;0.07498200000000001;0.09640499999999999;-0.16068;0.1821;0.0;1.0;1.0;0.0;-0.041549;-0.011261;-0.056525;0.025668;1.0;1.0;26.19400000000001;26.19400000000001;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;0.0;-1600.0;62.0;30.0;62.0;2.21;4.0;8.0;133.0;133.0;-16.0;1.0;29.91;1.0;0.0;0.0;1.0;1131.3680616502252;122.06088639382436;;0;0
1065.32;0.0;0.0;3000.0;3000.0;0.0;11.0;35.0;0.0;1.0;1.0;1.0;1.0;0.48682;0.08569299999999999;0.10712;-0.17139000000000001;0.1821;0.0;1.0;1.0;0.0;-0.055390999999999996;-0.018018;-0.057678;0.025668;1.0;1.0;26.19400000000001;26.19400000000001;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;0.0;-1600.0;62.0;30.0;62.0;2.21;4.0;8.0;133.0;133.0;-16.0;1.0;29.91;1.0;0.0;0.0;1.0;1131.3371342347161;122.0588768622368;;0;0
1065.33;0.0;0.0;3000.0;3000.0;0.0;11.0;35.0;0.0;1.0;1.0;1.0;1.0;0.48053;0.08569299999999999;0.10712;-0.13925;0.17139000000000001;0.0;1.0;1.0;0.0;-0.10615;-0.073196;-0.057678;0.025668;1.0;1.0;26.19400000000001;26.19400000000001;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;0.0;-1600.0;62.0;30.0;62.0;2.21;4.0;8.0;133.0;133.0;-16.0;1.0;29.91;1.0;0.0;0.0;1.0;1131.3062215889067;122.05686825613363;;0;0
1065.34;0.0;0.0;3000.0;3000.0;0.0;11.0;35.0;0.0;1.0;1.0;1.0;1.0;0.48682;0.08569299999999999;0.09640499999999999;-0.17139000000000001;0.17139000000000001;0.0;1.0;1.0;0.0;-0.08884500000000001;-0.073196;-0.056525;0.026779;1.0;1.0;26.19400000000001;26.19400000000001;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;0.0;-1600.0;62.0;30.0;62.0;2.21;4.0;8.0;133.0;133.0;-16.0;1.0;29.91;1.0;0.0;0.0;1.0;1131.2753237135198;122.05486057559605;;0;0
1065.35;0.0;0.0;3000.0;3000.0;0.0;11.0;35.0;0.0;1.0;1.0;1.0;1.0;0.48367;0.09640499999999999;0.10712;-0.13925;0.17139000000000001;0.0;1.0;1.0;0.0;-0.11076;-0.019144;-0.057678;0.025668;1.0;1.0;26.19400000000001;26.19400000000001;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;0.0;-1600.0;62.0;30.0;62.0;2.21;4.0;8.0;133.0;133.0;-16.0;1.0;29.91;1.0;0.0;0.0;1.0;1131.2444406092786;122.05285382070532;;0;0
1065.36;0.0;0.0;3000.0;3000.0;0.0;11.0;35.0;0.0;1.0;1.0;1.0;1.0;0.48367;0.09640499999999999;0.11782999999999999;-0.17139000000000001;0.1821;0.0;1.0;1.0;0.0;-0.041549;-0.073196;-0.056525;0.025668;1.0;1.0;26.19400000000001;26.19400000000001;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;0.0;-1600.0;62.0;30.0;62.0;2.21;4.0;8.0;133.0;133.0;-16.0;1.0;29.91;1.0;0.0;0.0;1.0;1131.2135722769053;122.05084799154268;;0;0
1065.37;0.0;0.0;3000.0;3000.0;0.0;11.0;35.0;0.0;1.0;1.0;1.0;1.0;0.48367;0.08569299999999999;0.10712;-0.13925;0.1821;0.0;1.0;1.0;0.0;-0.10499000000000001;-0.019144;-0.057678;0.025668;1.0;1.0;26.19400000000001;26.19400000000001;24.930999999999997;24.930999999999997;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;3000.0;0.0;-1600.0;62.0;30.0;62.0;2.21;4.0;8.0;133.0;133.0;-16.0;1.0;29.91;1.0;0.0;0.0;1.0;1131.1827187171225;122.04884308818927;;0;0
