TIME;AUD_FwsNumber;AUD_AlarmNumber;FCUALTSELOUT_simaplaw_a;FCUALTSELOUT_simaplaw_b;FCU_AltKnobIncrement;IR1OUT_a4_i_150_GPS_UTC_hours;IR1OUT_a4_i_150_GPS_UTC_minutes;IR1OUT_a4_i_150_GPS_UTC_seconds;BAP1ENGDOUT_simaplaw_a;BAP2ENGDOUT_simaplaw_b;BATHRENGDOUT;P_PEDALS_STEERING;P_THROTTLE_LEVER_ANGLE_ENGINE_1;P_THROTTLE_LEVER_ANGLE_ENGINE_2;P_THROTTLE_LEVER_ANGLE_ENGINE_3;P_THROTTLE_LEVER_ANGLE_ENGINE_4;P_LG_PANEL_ANTI_SKID_POSITION_SELECTED;P_LG_PANEL_GEAR_DOWN_REQUEST;P_LG_PANEL_GEAR_UP_REQUEST;P_LEFT_SIDESTICK_PITCH_CTRL;P_LEFT_SIDESTICK_ROLL_CTRL;P_RIGHT_SIDESTICK_PITCH_CTRL;P_RIGHT_SIDESTICK_ROLL_CTRL;P_LEFT_SIDESTICK_INSTINCTIVE_DISCONNECT;CKT_Engine1MasterLeverOn;CKT_Engine2MasterLeverOn;CKT_ThrustLeverAngle[0];CKT_ThrustLeverAngle[1];CKT_ThrustLeverAngle[2];CKT_ThrustLeverAngle[3];P_FLAPS_BOOLEAN_1;P_FLAPS_BOOLEAN_2;P_FLAPS_BOOLEAN_3;P_FLAPS_BOOLEAN_4;P_FLAPS_BOOLEAN_5;P_GLS_R_MASTER_CAUTION_BUTTON_PUSHED;P_GLS_R_MASTER_WARNING_BUTTON_PUSHED;FCU_LeftBaroSetting;ALTFCU;FCGS_FcuFpaSelect;FCGS_FcuVerticalSpeedSelect;FCGS_HdgTrkTargetToBeDisplayedOnFcu;FCUALTSELPROUT_simaplaw_a;FCULATSELPROUT_simaplaw_a;FCUMACHSELOUT_simaplaw_a;FCUMODEOUT_simaplaw_a;FCURANGEOUT_simaplaw_a;FCUSPDSELOUT_simaplaw_a;FCUSPDSELPROUT_simaplaw_a;FCUVSSELPROUT_simaplaw_a;FCU_AdaptSdpKnobPull;FCU_AltRateSelector;FCU_RightBaroSetting;FCU_AdaptRangeCpt20Nm;FCU_AdaptRangeFo10Nm;FCU_AdaptRangeFo20Nm;FCU_AdaptRangeFo40Nm;ALTITUDE;SPEED;AOI;AlarmActive;Action
1167.44;0.0;0.0;4000.0;4000.0;0.0;10.0;27.0;29.0;1.0;1.0;1.0;0.5151100000000001;0.09640499999999999;0.09640499999999999;0.19280999999999998;0.042847;1.0;1.0;0.0;-0.041549;-0.073196;-0.0646;0.017893;0.0;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;4000.0;1.8;1300.0;9.0;40.0;9.0;1.0;4.0;8.0;135.0;135.0;13.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;1627.4855719876016;120.17826622317516;;0;0
1167.45;0.0;0.0;4000.0;4000.0;0.0;10.0;27.0;29.0;1.0;1.0;1.0;0.5214;0.11782999999999999;0.08569299999999999;0.2142300000000001;0.021422999999999998;1.0;1.0;0.0;-0.07961599999999999;-0.055179;-0.0646;0.017893;0.0;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;4000.0;1.8;1300.0;9.0;40.0;9.0;1.0;4.0;8.0;135.0;135.0;13.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;1627.3701909078686;120.17808956726499;;0;0
1167.46;0.0;0.0;4000.0;4000.0;0.0;10.0;27.0;29.0;1.0;1.0;1.0;0.5151100000000001;0.10712;0.08569299999999999;0.10712;0.07498200000000001;1.0;1.0;0.0;-0.078463;-0.073196;-0.0646;0.019003;0.0;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;4000.0;1.8;1300.0;9.0;40.0;9.0;1.0;4.0;8.0;135.0;135.0;13.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;1627.254811411976;120.17791299735565;;0;0
1167.47;0.0;0.0;4000.0;4000.0;0.0;10.0;27.0;29.0;1.0;1.0;1.0;0.51826;0.10712;0.09640499999999999;0.19280999999999998;0.042847;1.0;1.0;0.0;-0.031167;-0.047296;-0.0646;0.020114;0.0;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;4000.0;1.8;1300.0;9.0;40.0;9.0;1.0;4.0;8.0;135.0;135.0;13.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;1627.1394335000039;120.1777365134495;;0;0
1167.48;0.0;0.0;4000.0;4000.0;0.0;10.0;27.0;29.0;1.0;1.0;1.0;0.50883;0.08569299999999999;0.09640499999999999;0.1821;0.042847;1.0;1.0;0.0;-0.041549;-0.073196;-0.0646;0.020114;0.0;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;4000.0;1.8;1300.0;9.0;40.0;9.0;1.0;4.0;8.0;135.0;135.0;13.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;1627.024057172039;120.17756011554891;;0;0
1167.49;0.0;0.0;4000.0;4000.0;0.0;10.0;27.0;29.0;1.0;1.0;1.0;0.5151100000000001;0.10712;0.10712;0.1821;0.032135000000000004;1.0;1.0;0.0;-0.083077;-0.073196;-0.0646;0.017893;0.0;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;4000.0;1.8;1300.0;9.0;40.0;9.0;1.0;4.0;8.0;135.0;135.0;13.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;1626.9086824281626;120.1773838036562;;0;0
1167.5;0.0;0.0;4000.0;4000.0;0.0;10.0;27.0;29.0;1.0;1.0;1.0;0.51826;0.09640499999999999;0.09640499999999999;0.08569299999999999;0.09640499999999999;1.0;1.0;0.0;-0.03232;-0.073196;-0.06575299999999999;0.019003;0.0;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;4000.0;1.8;1300.0;9.0;40.0;9.0;1.0;4.0;8.0;135.0;135.0;13.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;1626.7933092684561;120.17720757777373;;0;0
1167.51;0.0;0.0;4000.0;4000.0;0.0;10.0;27.0;29.0;1.0;1.0;1.0;0.50568;0.10712;0.09640499999999999;0.1821;0.042847;1.0;1.0;0.0;-0.084231;-0.064188;-0.063446;0.019003;0.0;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;4000.0;1.8;1300.0;9.0;40.0;9.0;1.0;4.0;8.0;135.0;135.0;13.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;1626.677937693005;120.17703143790385;;0;0
1167.52;0.0;0.0;4000.0;4000.0;0.0;10.0;27.0;29.0;1.0;1.0;1.0;0.5151100000000001;0.10712;0.09640499999999999;0.13925;0.06427000000000001;1.0;1.0;0.0;-0.033474000000000004;-0.073196;-0.0646;0.019003;0.0;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;4000.0;1.8;1300.0;9.0;40.0;9.0;1.0;4.0;8.0;135.0;135.0;13.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;1626.5625677018907;120.17685538404886;;0;0
1167.53;0.0;0.0;4000.0;4000.0;0.0;10.0;27.0;29.0;1.0;1.0;1.0;0.51826;0.10712;0.10712;0.17139000000000001;0.053558;1.0;1.0;0.0;-0.070388;-0.091214;-0.0646;0.017893;0.0;0.0;1.0;0.0;0.0;34.733000000000004;34.733000000000004;1.0;0.0;0.0;0.0;1.0;0.0;0.0;29.91;4000.0;1.8;1300.0;9.0;40.0;9.0;1.0;4.0;8.0;135.0;135.0;13.0;0.0;1.0;29.91;1.0;0.0;1.0;0.0;1626.4471992951974;120.17667941621124;;0;0
